Moc [kW]	Izkoristek[-]
1.25397044	0.20526706
1.29702808	0.21083887
1.35724257	0.22595597
0.61152069	0.10822295
1.46865257	0.21954073
0.55023472	0.09900034
1.32646605	0.22309842
-0.17083769	0.0473597
1.33931066	0.22425442
1.10357937	0.16989798
1.22018258	0.19112365
1.20632291	0.18362035
1.32177067	0.19425508
1.3991709	0.2323186
1.39876682	0.21510012
1.41227817	0.20927895
0.85616889	0.10427574
1.09300408	0.16971808
1.36571163	0.20095622
1.23647653	0.19286543
1.28285459	0.1861244
1.25738657	0.19895439
1.37711891	0.21301998
1.15416616	0.18124592
0.6557634	0.11081372
1.09020117	0.16914545
0.38254151	0.08797219
1.10357937	0.16989798
1.25817151	0.20013053
1.4460299	0.21288037
